Stress Score,Transcription Factors,Male Score,Female Score
,Rhox2c,,
,Zscan10,,
,Nrf1,,
,Rcor2,,
,Figla,,
,Prdm2,,
,Nfe2,,
,Zfp688,,
,Zfp260,,
,Cic,,
,Ybx1,,
,Rhox3g,,
,Hes6,,
,Peg3,,
,Zfp445,,
,Zfp146,,
,Zfp316,,
,Zfp964,,
,Zfp667,,
,Runx2,,
,Zfp267,,
,Fev,,
,Tada2a,,
,Runx3,,
,Zfp13,,
,Zfp606,,
,Alx4,,
,Zscan21,,
,Sox13,,
,Zbtb39,,
,Srf,,
,T,,
,Mnx1,,
,Ets2,,
,Gm14326,,
,Zfp965,,
,Zfp605,,
,Rhox11,,
,Zxdc,,
,Zfp236,,
,Dnajc2,,
,Gm28047,,
,Zscan29,,
,Zfp287,,
,Zfp553,,
,Gm12258,,
,Zfp184,,
,Gata1,,
,Onecut1,,
,Pitx1,,
,Creb3l1,,
,Foxi2,,
,Terb1,,
,Hmgb1,,
,E2f8,,
,Tcfl5,,
,AW822073,,
,Zfp438,,
,Zbtb7a,,
,Bcl11a,,
,Nr1i3,,
,Tshz1,,
,Pax7,,
,Zfp202,,
,Atoh1,,
,Rhox4d,,
,Zmiz1,,
,Zfp628,,
,Bach1,,
,Nr1d2,,
,Obox7,,
,Zscan20,,
,Zfp984,,
,Crem,,
,Id2,,
,Zfhx4,,
,Zfp36l1,,
,Hes2,,
,Nkx2-4,,
,Zfp423,,
,Zfp12,,
,Zfp618,,
,Irx1,,
,Zfp14,,
,Prrx1,,
,Zfp647,,
,Dmrt2,,
,Alx1,,
,Zfp987,,
,Zfp952,,
,Zfp951,,
,Nkx2-3,,
,Zfp92,,
,Mixl1,,
,Erf,,
,Pias4,,
,Gm4924,,
,Zfp651,,
,Foxs1,,
,Myrfl,,
,Aff1,,
,Ebf3,,
,Ovol1,,
,Zfp646,,
,Gm45871,,
,Gatad2a,,
,Nfia,,
,Myf6,,
,Lbx1,,
,Zfp866,,
,Gsc2,,
,Six3,,
,Hoxd8,,
,Foxe3,,
,Meox2,,
,Gm14295,,
,Tox2,,
,Klf12,,
,Nr3c2,,
,Csrnp2,,
,Zkscan8,,
,Msx1,,
,Lin28a,,
,Klf5,,
,Rhox2h,,
,Grhl1,,
,Rorb,,
,Maz,,
,Hlx,,
,Egr1,,
,Etv3,,
,Pou3f2,,
,Zfp629,,
,Tcf24,,
,Nr2f2,,
,Zfp385a,,
,Obox3,,
,Rorc,,
,Hoxa11,,
,Sp140,,
,Twist2,,
,Meis1,,
,Nfe2l2,,
,Ikzf1,,
,Gm14399,,
,Zkscan16,,
,Hoxa10,,
,Zfp105,,
,Zbtb41,,
,Foxm1,,
,Pou3f3,,
,Bnc1,,
,Etv1,,
,Fosl2,,
,Hes1,,
,Lhx2,,
,Thap2,,
,Gm4724,,
,Mecom,,
,Nhlh1,,
,Gm32802,,
,Hnf1a,,
,Foxi3,,
,Sox4,,
,Zfp882,,
,Barx1,,
,Zfp932,,
,Gm14305,,
,Sp9,,
,Foxi1,,
,Prdm16,,
,Esr1,,
,Batf2,,
,Etv5,,
,Zfp664,,
,Hmbox1,,
,Zfp212,,
,Ovol3,,
,Zfp972,,
,Nr0b2,,
,Gatad1,,
,Zfp600,,
,Foxp3,,
,Zfp788,,
,Duxf3,,
,Zfp69,,
,Klf16,,
,Scrt2,,
,Hic2,,
,Zfp532,,
,A430033K04Rik,,
,Sox2,,
,Zbtb33,,
,Hoxb13,,
,Ddit3,,
,E4f1,,
,Zfp94,,
,Sp6,,
,Zkscan17,,
,Olig1,,
,Cphx1,,
,BC025920,,
,Hesx1,,
,Zbtb12,,
,Lhx4,,
,Zscan4e,,
,Msc,,
,Rhox3c,,
,Zfp217,,
,Zfp819,,
,Wdhd1,,
,Zfp983,,
,Stat6,,
,Mkx,,
,Obox1,,
,Zscan4b,,
,Hoxa3,,
,Tcf7,,
,Sox18,,
,Foxn1,,
,Csrnp1,,
,Scx,,
,Pou6f2,,
,Zfp420,,
